n_mels,conv_groups,num_params,flops,epoch_time_sec,test_acc,test_loss
20,1,28737,,31.066440963745116,0.9805825352668762,0.07430937886238098
40,1,32577,,31.364852786064148,0.9842233061790466,0.06905011087656021
80,1,40257,,31.524166297912597,0.9805825352668762,0.0827147588133812
80,2,20289,,32.02674672603607,0.9793689250946045,0.1033904030919075
80,4,10305,,33.40739111900329,0.957524299621582,0.1395414173603058
80,8,5313,,32.407702398300174,0.9599514603614807,0.12930184602737427
80,16,2817,,32.477589058876035,0.9356796145439148,0.17847582697868347
